Year,Month,YearMonth,Port1,Port2,Route,$Value,$Real
2010,4,201004,Port Macquarie,Sydney,Port Macquarie - Sydney,118.0,172.32
2010,4,201004,Sydney,Tamworth,Sydney - Tamworth,190.0,277.46
2010,4,201004,Sydney,Townsville,Sydney - Townsville,238.0,347.56
2010,4,201004,Sydney,Wagga Wagga,Sydney - Wagga Wagga,213.92,312.39
2010,4,201004,Newcastle,Gold Coast,Newcastle - Gold Coast,148.0,216.13
2010,5,201005,Adelaide,Alice Springs,Adelaide - Alice Springs,318.0,464.39
2010,5,201005,Adelaide,Brisbane,Adelaide - Brisbane,96.0,140.19
2010,5,201005,Adelaide,Canberra,Adelaide - Canberra,278.0,405.97
2010,5,201005,Adelaide,Darwin,Adelaide - Darwin,378.95,553.39
2010,5,201005,Adelaide,Gold Coast,Adelaide - Gold Coast,96.0,140.19
2010,5,201005,Adelaide,Melbourne,Adelaide - Melbourne,56.0,81.78
2010,5,201005,Adelaide,Perth,Adelaide - Perth,298.0,435.18
2010,5,201005,Adelaide,Port Lincoln,Adelaide - Port Lincoln,177.66,259.44
2010,5,201005,Adelaide,Sydney,Adelaide - Sydney,76.0,110.99
2010,5,201005,Albury,Sydney,Albury - Sydney,150.0,219.05
2010,5,201005,Alice Springs,Darwin,Alice Springs - Darwin,568.0,829.47
2010,5,201005,Alice Springs,Melbourne,Alice Springs - Melbourne,206.0,300.83
2010,5,201005,Alice Springs,Sydney,Alice Springs - Sydney,658.0,960.9
2010,5,201005,Avalon,Brisbane,Avalon - Brisbane,188.0,274.54
2010,5,201005,Avalon,Sydney,Avalon - Sydney,78.0,113.91
2010,5,201005,Ayers Rock,Cairns,Ayers Rock - Cairns,698.0,1019.31
2010,5,201005,Ayers Rock,Sydney,Ayers Rock - Sydney,527.0,769.6
2010,5,201005,Ballina,Sydney,Ballina - Sydney,198.0,289.15
2010,5,201005,Brisbane,Cairns,Brisbane - Cairns,208.0,303.75
2010,5,201005,Brisbane,Canberra,Brisbane - Canberra,219.0,319.81
2010,5,201005,Brisbane,Darwin,Brisbane - Darwin,398.0,581.21
2010,5,201005,Brisbane,Emerald,Brisbane - Emerald,246.0,359.24
2010,5,201005,Brisbane,Gladstone,Brisbane - Gladstone,182.0,265.78
2010,5,201005,Brisbane,Hamilton Island,Brisbane - Hamilton Island,158.0,230.73
2010,5,201005,Brisbane,Mackay,Brisbane - Mackay,168.95,246.72
2010,5,201005,Brisbane,Melbourne,Brisbane - Melbourne,116.0,169.4
2010,5,201005,Brisbane,Mount Isa,Brisbane - Mount Isa,582.0,849.91
2010,5,201005,Brisbane,Perth,Brisbane - Perth,494.0,721.41
2010,5,201005,Brisbane,Proserpine,Brisbane - Proserpine,148.95,217.52
2010,5,201005,Brisbane,Rockhampton,Brisbane - Rockhampton,38.0,55.49
2010,5,201005,Brisbane,Sydney,Brisbane - Sydney,128.0,186.92
2010,5,201005,Brisbane,Townsville,Brisbane - Townsville,188.0,274.54
2010,5,201005,Brisbane,Newcastle,Brisbane - Newcastle,108.0,157.72
2010,5,201005,Broome,Perth,Broome - Perth,378.0,552.01
2010,5,201005,Bundaberg,Brisbane,Bundaberg - Brisbane,210.0,306.67
2010,5,201005,Cairns,Melbourne,Cairns - Melbourne,479.9,700.81
2010,5,201005,Cairns,Sydney,Cairns - Sydney,354.0,516.96
2010,5,201005,Cairns,Townsville,Cairns - Townsville,118.0,172.32
2010,5,201005,Canberra,Melbourne,Canberra - Melbourne,76.0,110.99
2010,5,201005,Canberra,Sydney,Canberra - Sydney,154.0,224.89
2010,5,201005,Coffs Harbour,Sydney,Coffs Harbour - Sydney,210.0,306.67
2010,5,201005,Darwin,Melbourne,Darwin - Melbourne,388.95,568.0
2010,5,201005,Darwin,Perth,Darwin - Perth,448.0,654.23
2010,5,201005,Darwin,Sydney,Darwin - Sydney,418.95,611.81
2010,5,201005,Devonport,Melbourne,Devonport - Melbourne,198.0,289.15
2010,5,201005,Dubbo,Sydney,Dubbo - Sydney,248.0,362.16
2010,5,201005,Geraldton,Perth,Geraldton - Perth,313.14,457.29
2010,5,201005,Gold Coast,Sydney,Gold Coast - Sydney,56.0,81.78
2010,5,201005,Hamilton Island,Sydney,Hamilton Island - Sydney,318.0,464.39
2010,5,201005,Hervey Bay,Sydney,Hervey Bay - Sydney,250.0,365.08
2010,5,201005,Hobart,Melbourne,Hobart - Melbourne,76.0,110.99
2010,5,201005,Hobart,Sydney,Hobart - Sydney,198.0,289.15
2010,5,201005,Kalgoorlie,Perth,Kalgoorlie - Perth,257.37,375.85
2010,5,201005,Karratha,Perth,Karratha - Perth,318.12,464.56
2010,5,201005,Launceston,Melbourne,Launceston - Melbourne,73.0,106.6
2010,5,201005,Launceston,Sydney,Launceston - Sydney,229.9,335.73
2010,5,201005,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,146.0,213.21
2010,5,201005,Sunshine Coast,Sydney,Sunshine Coast - Sydney,158.0,230.73
2010,5,201005,Melbourne,Gold Coast,Melbourne - Gold Coast,156.0,227.81
2010,5,201005,Melbourne,Mildura,Melbourne - Mildura,198.0,289.15
2010,5,201005,Melbourne,Perth,Melbourne - Perth,126.0,184.0
2010,5,201005,Melbourne,Sydney,Melbourne - Sydney,56.0,81.78
2010,5,201005,Melbourne,Newcastle,Melbourne - Newcastle,144.0,210.29
2010,5,201005,Paraburdoo,Perth,Paraburdoo - Perth,409.0,597.28
2010,5,201005,Perth,Newman,Perth - Newman,378.0,552.01
2010,5,201005,Perth,Port Hedland,Perth - Port Hedland,368.0,537.4
2010,5,201005,Perth,Sydney,Perth - Sydney,328.0,478.99
2010,5,201005,Port Macquarie,Sydney,Port Macquarie - Sydney,158.0,230.73
2010,5,201005,Sydney,Tamworth,Sydney - Tamworth,190.0,277.46
2010,5,201005,Sydney,Townsville,Sydney - Townsville,278.95,407.36
